Entity,Code,Year,Closed autocracies,Electoral autocracies,Electoral democracies,Liberal democracies
World,OWID_WRL,1789,100,0,0,0
World,OWID_WRL,1790,98.11320754716981,1.8867924528301887,0,0
World,OWID_WRL,1791,98.11320754716981,1.8867924528301887,0,0
World,OWID_WRL,1792,96.22641509433963,3.7735849056603774,0,0
World,OWID_WRL,1793,96.22641509433963,3.7735849056603774,0,0
World,OWID_WRL,1794,96.22641509433963,3.7735849056603774,0,0
World,OWID_WRL,1795,96.22641509433963,3.7735849056603774,0,0
World,OWID_WRL,1796,92.15686274509804,7.8431372549019605,0,0
World,OWID_WRL,1797,92.15686274509804,7.8431372549019605,0,0
World,OWID_WRL,1798,92.15686274509804,7.8431372549019605,0,0
World,OWID_WRL,1799,96.07843137254902,3.9215686274509802,0,0
World,OWID_WRL,1800,96.22641509433963,3.7735849056603774,0,0
World,OWID_WRL,1801,96.15384615384616,3.8461538461538463,0,0
World,OWID_WRL,1802,96.29629629629629,3.7037037037037037,0,0
World,OWID_WRL,1803,96.22641509433963,3.7735849056603774,0,0
World,OWID_WRL,1804,96.22641509433963,3.7735849056603774,0,0
World,OWID_WRL,1805,96.22641509433963,3.7735849056603774,0,0
World,OWID_WRL,1806,96.22641509433963,3.7735849056603774,0,0
World,OWID_WRL,1807,96.36363636363636,3.6363636363636362,0,0
World,OWID_WRL,1808,96.29629629629629,3.7037037037037037,0,0
World,OWID_WRL,1809,96.36363636363636,3.6363636363636362,0,0
World,OWID_WRL,1810,96.29629629629629,3.7037037037037037,0,0
World,OWID_WRL,1811,96.22641509433963,3.7735849056603774,0,0
World,OWID_WRL,1812,96.22641509433963,3.7735849056603774,0,0
World,OWID_WRL,1813,96.36363636363636,3.6363636363636362,0,0
World,OWID_WRL,1814,96.49122807017544,3.508771929824561,0,0
World,OWID_WRL,1815,96.66666666666667,3.3333333333333335,0,0
World,OWID_WRL,1816,96.66666666666667,3.3333333333333335,0,0
World,OWID_WRL,1817,95.08196721311475,4.918032786885246,0,0
World,OWID_WRL,1818,95.08196721311475,4.918032786885246,0,0
World,OWID_WRL,1819,95.08196721311475,4.918032786885246,0,0
World,OWID_WRL,1820,95,5,0,0
World,OWID_WRL,1821,93.54838709677419,6.451612903225806,0,0
World,OWID_WRL,1822,93.65079365079364,6.349206349206349,0,0
World,OWID_WRL,1823,92.06349206349206,7.936507936507937,0,0
World,OWID_WRL,1824,93.54838709677419,6.451612903225806,0,0
World,OWID_WRL,1825,93.75,6.25,0,0
World,OWID_WRL,1826,93.84615384615384,6.153846153846154,0,0
World,OWID_WRL,1827,93.84615384615384,6.153846153846154,0,0
World,OWID_WRL,1828,93.84615384615384,6.153846153846154,0,0
World,OWID_WRL,1829,92.3076923076923,7.6923076923076925,0,0
World,OWID_WRL,1830,94.11764705882354,5.882352941176471,0,0
World,OWID_WRL,1831,91.30434782608695,8.695652173913043,0,0
World,OWID_WRL,1832,90,10,0,0
World,OWID_WRL,1833,90,10,0,0
World,OWID_WRL,1834,90.14084507042253,9.859154929577464,0,0
World,OWID_WRL,1835,88.73239436619718,11.267605633802816,0,0
World,OWID_WRL,1836,88.73239436619718,11.267605633802816,0,0
World,OWID_WRL,1837,87.32394366197182,12.67605633802817,0,0
World,OWID_WRL,1838,89.1891891891892,10.81081081081081,0,0
World,OWID_WRL,1839,88,12,0,0
World,OWID_WRL,1840,89.33333333333333,10.666666666666666,0,0
World,OWID_WRL,1841,93.42105263157895,6.578947368421052,0,0
World,OWID_WRL,1842,89.47368421052632,10.526315789473685,0,0
World,OWID_WRL,1843,89.47368421052632,10.526315789473685,0,0
World,OWID_WRL,1844,88.31168831168831,11.688311688311689,0,0
World,OWID_WRL,1845,88.31168831168831,11.688311688311689,0,0
World,OWID_WRL,1846,89.74358974358974,10.256410256410257,0,0
World,OWID_WRL,1847,88.31168831168831,11.688311688311689,0,0
World,OWID_WRL,1848,79.74683544303798,20.253164556962027,0,0
World,OWID_WRL,1849,82.05128205128206,16.666666666666668,0,1.2820512820512822
World,OWID_WRL,1850,82.05128205128206,16.666666666666668,0,1.2820512820512822
World,OWID_WRL,1851,80.51948051948052,18.181818181818183,0,1.2987012987012987
World,OWID_WRL,1852,80.76923076923077,17.94871794871795,0,1.2820512820512822
World,OWID_WRL,1853,82.27848101265823,16.455696202531644,0,1.2658227848101267
World,OWID_WRL,1854,81.0126582278481,17.72151898734177,0,1.2658227848101267
World,OWID_WRL,1855,81.0126582278481,17.72151898734177,0,1.2658227848101267
World,OWID_WRL,1856,80.76923076923077,17.94871794871795,0,1.2820512820512822
World,OWID_WRL,1857,79.74683544303798,18.9873417721519,0,1.2658227848101267
World,OWID_WRL,1858,81.0126582278481,16.455696202531644,0,2.5316455696202533
World,OWID_WRL,1859,81.0126582278481,16.455696202531644,0,2.5316455696202533
World,OWID_WRL,1860,80.51948051948052,16.883116883116884,0,2.5974025974025974
World,OWID_WRL,1861,82.89473684210526,14.473684210526315,0,2.6315789473684212
World,OWID_WRL,1862,80.82191780821918,16.438356164383563,0,2.73972602739726
World,OWID_WRL,1863,82.43243243243244,14.864864864864865,0,2.7027027027027026
World,OWID_WRL,1864,82.43243243243244,14.864864864864865,0,2.7027027027027026
World,OWID_WRL,1865,80.82191780821918,16.438356164383563,0,2.73972602739726
World,OWID_WRL,1866,80,17.333333333333332,0,2.6666666666666665
World,OWID_WRL,1867,80.28169014084507,16.901408450704224,0,2.816901408450704
World,OWID_WRL,1868,78.46153846153847,18.46153846153846,0,3.076923076923077
World,OWID_WRL,1869,78.78787878787878,18.181818181818183,0,3.0303030303030303
